Image,Angle (degrees)
grayscale_Img000000.tif,13.91
grayscale_Img000001.tif,12.88
grayscale_Img000002.tif,12.28
grayscale_Img000003.tif,12.43
grayscale_Img000004.tif,11.53
grayscale_Img000005.tif,9.55
grayscale_Img000006.tif,11.07
grayscale_Img000007.tif,10.76
grayscale_Img000008.tif,11.52
grayscale_Img000009.tif,11.68
grayscale_Img000010.tif,11.99
grayscale_Img000011.tif,11.99
grayscale_Img000012.tif,12.44
grayscale_Img000013.tif,13.34
grayscale_Img000014.tif,13.64
grayscale_Img000015.tif,13.63
grayscale_Img000016.tif,13.48
grayscale_Img000017.tif,13.63
grayscale_Img000018.tif,13.77
grayscale_Img000019.tif,13.77
grayscale_Img000020.tif,11.68
grayscale_Img000021.tif,12.14
grayscale_Img000022.tif,12.44
grayscale_Img000023.tif,12.14
grayscale_Img000024.tif,12.29
grayscale_Img000025.tif,11.99
grayscale_Img000026.tif,10.78
grayscale_Img000027.tif,11.08
grayscale_Img000028.tif,10.93
grayscale_Img000029.tif,10.47
grayscale_Img000030.tif,9.87
grayscale_Img000031.tif,10.02
grayscale_Img000032.tif,10.63
grayscale_Img000033.tif,11.08
grayscale_Img000034.tif,10.47
grayscale_Img000035.tif,9.86
grayscale_Img000036.tif,9.26
grayscale_Img000037.tif,8.96
grayscale_Img000038.tif,9.56
grayscale_Img000039.tif,10.02
grayscale_Img000040.tif,9.11
grayscale_Img000041.tif,8.95
grayscale_Img000042.tif,9.7
grayscale_Img000043.tif,10.91
grayscale_Img000044.tif,11.06
grayscale_Img000045.tif,11.67
grayscale_Img000046.tif,10.91
grayscale_Img000047.tif,10.3
grayscale_Img000048.tif,10.76
grayscale_Img000049.tif,11.07
grayscale_Img000050.tif,11.67
grayscale_Img000051.tif,12.43
grayscale_Img000052.tif,12.29
grayscale_Img000053.tif,10.47
grayscale_Img000054.tif,11.68
grayscale_Img000055.tif,11.36
grayscale_Img000056.tif,10.0
grayscale_Img000057.tif,10.0
grayscale_Img000058.tif,9.55
grayscale_Img000059.tif,10.32
grayscale_Img000060.tif,11.37
grayscale_Img000061.tif,11.82
grayscale_Img000062.tif,11.82
grayscale_Img000063.tif,12.13
grayscale_Img000064.tif,11.83
grayscale_Img000065.tif,11.37
grayscale_Img000066.tif,11.08
grayscale_Img000067.tif,10.77
grayscale_Img000068.tif,10.17
grayscale_Img000069.tif,10.17
grayscale_Img000070.tif,10.16
grayscale_Img000071.tif,10.01
grayscale_Img000072.tif,10.92
grayscale_Img000073.tif,11.83
grayscale_Img000074.tif,12.43
grayscale_Img000075.tif,12.74
grayscale_Img000076.tif,12.44
grayscale_Img000077.tif,12.28
grayscale_Img000078.tif,12.13
grayscale_Img000079.tif,11.52
grayscale_Img000080.tif,11.37
grayscale_Img000081.tif,11.21
grayscale_Img000082.tif,11.51
grayscale_Img000083.tif,11.5
grayscale_Img000084.tif,13.31
grayscale_Img000085.tif,13.91
grayscale_Img000086.tif,11.51
grayscale_Img000087.tif,12.88
grayscale_Img000088.tif,11.82
grayscale_Img000089.tif,11.97
grayscale_Img000090.tif,12.73
grayscale_Img000091.tif,13.03
grayscale_Img000092.tif,12.29
grayscale_Img000093.tif,12.29
grayscale_Img000094.tif,12.28
grayscale_Img000095.tif,12.43
grayscale_Img000096.tif,12.88
grayscale_Img000097.tif,12.73
grayscale_Img000098.tif,12.88
grayscale_Img000099.tif,12.28
grayscale_Img000100.tif,10.76
grayscale_Img000101.tif,10.32
grayscale_Img000102.tif,11.52
grayscale_Img000103.tif,11.82
grayscale_Img000104.tif,10.16
grayscale_Img000105.tif,10.61
grayscale_Img000106.tif,11.21
grayscale_Img000107.tif,11.06
grayscale_Img000108.tif,12.12
grayscale_Img000109.tif,13.17
grayscale_Img000110.tif,12.42
grayscale_Img000111.tif,10.9
grayscale_Img000112.tif,13.32
grayscale_Img000113.tif,14.21
grayscale_Img000114.tif,14.2
grayscale_Img000115.tif,14.2
grayscale_Img000116.tif,12.43
grayscale_Img000117.tif,12.43
grayscale_Img000118.tif,12.73
grayscale_Img000119.tif,9.85
grayscale_Img000120.tif,10.29
grayscale_Img000121.tif,11.5
grayscale_Img000122.tif,10.75
grayscale_Img000123.tif,11.05
grayscale_Img000124.tif,11.04
grayscale_Img000125.tif,11.94
grayscale_Img000126.tif,10.76
grayscale_Img000127.tif,10.31
grayscale_Img000128.tif,9.55
grayscale_Img000129.tif,9.85
grayscale_Img000130.tif,10.46
grayscale_Img000131.tif,10.46
grayscale_Img000132.tif,10.76
grayscale_Img000133.tif,10.61
grayscale_Img000134.tif,10.61
grayscale_Img000135.tif,10.45
grayscale_Img000136.tif,10.59
grayscale_Img000137.tif,10.88
grayscale_Img000138.tif,11.48
grayscale_Img000139.tif,12.54
