Image,Angle (degrees)
grayscale_Img000000.tif,6.84
grayscale_Img000001.tif,7.75
grayscale_Img000002.tif,7.75
grayscale_Img000003.tif,7.14
grayscale_Img000004.tif,7.3
grayscale_Img000005.tif,7.6
grayscale_Img000006.tif,7.14
grayscale_Img000007.tif,7.9
grayscale_Img000008.tif,7.44
grayscale_Img000009.tif,6.69
grayscale_Img000010.tif,6.69
grayscale_Img000011.tif,7.3
grayscale_Img000012.tif,7.9
grayscale_Img000013.tif,8.5
grayscale_Img000014.tif,8.2
grayscale_Img000015.tif,7.6
grayscale_Img000016.tif,6.84
grayscale_Img000017.tif,6.99
grayscale_Img000018.tif,6.99
grayscale_Img000019.tif,6.84
grayscale_Img000020.tif,6.54
grayscale_Img000021.tif,7.45
grayscale_Img000022.tif,7.75
grayscale_Img000023.tif,8.06
grayscale_Img000024.tif,7.75
grayscale_Img000025.tif,6.84
grayscale_Img000026.tif,7.29
grayscale_Img000027.tif,6.69
grayscale_Img000028.tif,6.69
grayscale_Img000029.tif,6.99
grayscale_Img000030.tif,6.99
grayscale_Img000031.tif,7.3
grayscale_Img000032.tif,7.9
grayscale_Img000033.tif,7.45
grayscale_Img000034.tif,8.06
grayscale_Img000035.tif,6.99
grayscale_Img000036.tif,6.84
grayscale_Img000037.tif,6.99
grayscale_Img000038.tif,6.99
grayscale_Img000039.tif,7.14
grayscale_Img000040.tif,7.14
grayscale_Img000041.tif,6.99
grayscale_Img000042.tif,7.14
grayscale_Img000043.tif,7.0
grayscale_Img000044.tif,7.6
grayscale_Img000045.tif,7.15
grayscale_Img000046.tif,7.15
grayscale_Img000047.tif,7.29
grayscale_Img000048.tif,7.3
grayscale_Img000049.tif,7.45
grayscale_Img000050.tif,7.3
grayscale_Img000051.tif,7.3
grayscale_Img000052.tif,6.99
grayscale_Img000053.tif,6.84
grayscale_Img000054.tif,8.35
grayscale_Img000055.tif,6.54
grayscale_Img000056.tif,6.84
grayscale_Img000057.tif,7.14
grayscale_Img000058.tif,6.99
grayscale_Img000059.tif,7.15
grayscale_Img000060.tif,6.84
grayscale_Img000061.tif,7.29
grayscale_Img000062.tif,7.45
grayscale_Img000063.tif,7.45
grayscale_Img000064.tif,6.84
grayscale_Img000065.tif,7.75
grayscale_Img000066.tif,7.3
grayscale_Img000067.tif,6.99
grayscale_Img000068.tif,6.39
grayscale_Img000069.tif,6.99
grayscale_Img000070.tif,6.84
grayscale_Img000071.tif,6.69
grayscale_Img000072.tif,7.45
grayscale_Img000073.tif,6.99
grayscale_Img000074.tif,7.15
grayscale_Img000075.tif,6.99
grayscale_Img000076.tif,6.69
grayscale_Img000077.tif,6.99
grayscale_Img000078.tif,6.69
grayscale_Img000079.tif,6.54
grayscale_Img000080.tif,6.99
grayscale_Img000081.tif,7.3
grayscale_Img000082.tif,7.14
grayscale_Img000083.tif,6.99
grayscale_Img000084.tif,7.75
grayscale_Img000085.tif,7.6
grayscale_Img000086.tif,7.14
grayscale_Img000087.tif,7.74
grayscale_Img000088.tif,6.69
grayscale_Img000089.tif,7.45
grayscale_Img000090.tif,6.99
grayscale_Img000091.tif,6.84
grayscale_Img000092.tif,7.29
grayscale_Img000093.tif,7.45
grayscale_Img000094.tif,7.14
grayscale_Img000095.tif,7.29
grayscale_Img000096.tif,6.53
grayscale_Img000097.tif,7.75
grayscale_Img000098.tif,6.99
grayscale_Img000099.tif,8.05
grayscale_Img000100.tif,7.14
grayscale_Img000101.tif,6.99
grayscale_Img000102.tif,7.44
grayscale_Img000103.tif,6.84
grayscale_Img000104.tif,6.84
grayscale_Img000105.tif,7.3
grayscale_Img000106.tif,7.6
grayscale_Img000107.tif,6.84
grayscale_Img000108.tif,7.3
grayscale_Img000109.tif,6.99
grayscale_Img000110.tif,7.29
grayscale_Img000111.tif,6.54
grayscale_Img000112.tif,7.44
grayscale_Img000113.tif,6.84
grayscale_Img000114.tif,8.35
grayscale_Img000115.tif,7.15
grayscale_Img000116.tif,8.81
grayscale_Img000117.tif,7.45
grayscale_Img000118.tif,7.45
grayscale_Img000119.tif,8.2
grayscale_Img000120.tif,8.5
grayscale_Img000121.tif,7.9
grayscale_Img000122.tif,6.84
grayscale_Img000123.tif,7.9
grayscale_Img000124.tif,7.9
grayscale_Img000125.tif,7.3
