Image,Angle (degrees)
grayscale_Img000000.tif,13.32
grayscale_Img000001.tif,13.62
grayscale_Img000002.tif,13.16
grayscale_Img000003.tif,13.46
grayscale_Img000004.tif,14.04
grayscale_Img000005.tif,13.91
grayscale_Img000006.tif,13.76
grayscale_Img000007.tif,14.06
grayscale_Img000008.tif,13.62
grayscale_Img000009.tif,13.49
grayscale_Img000010.tif,12.73
grayscale_Img000011.tif,13.34
grayscale_Img000012.tif,13.63
grayscale_Img000013.tif,14.08
grayscale_Img000014.tif,13.93
grayscale_Img000015.tif,14.09
grayscale_Img000016.tif,14.37
grayscale_Img000017.tif,15.4
grayscale_Img000018.tif,15.67
grayscale_Img000019.tif,14.92
grayscale_Img000020.tif,15.1
grayscale_Img000021.tif,14.64
grayscale_Img000022.tif,15.24
grayscale_Img000023.tif,15.39
grayscale_Img000024.tif,15.53
grayscale_Img000025.tif,16.12
grayscale_Img000026.tif,15.1
grayscale_Img000027.tif,14.22
grayscale_Img000028.tif,13.93
grayscale_Img000029.tif,14.09
grayscale_Img000030.tif,14.83
grayscale_Img000031.tif,14.52
grayscale_Img000032.tif,14.08
grayscale_Img000033.tif,13.8
grayscale_Img000034.tif,13.8
grayscale_Img000035.tif,13.8
grayscale_Img000036.tif,14.4
grayscale_Img000037.tif,13.22
grayscale_Img000038.tif,12.93
grayscale_Img000039.tif,12.49
grayscale_Img000040.tif,12.48
grayscale_Img000041.tif,12.78
grayscale_Img000042.tif,12.48
grayscale_Img000043.tif,13.08
grayscale_Img000044.tif,13.06
grayscale_Img000045.tif,14.09
grayscale_Img000046.tif,14.38
grayscale_Img000047.tif,14.96
grayscale_Img000048.tif,15.85
grayscale_Img000049.tif,16.13
grayscale_Img000050.tif,16.26
grayscale_Img000051.tif,16.25
grayscale_Img000052.tif,15.54
grayscale_Img000053.tif,14.97
grayscale_Img000054.tif,15.7
grayscale_Img000055.tif,15.26
grayscale_Img000056.tif,15.1
grayscale_Img000057.tif,14.96
grayscale_Img000058.tif,14.95
grayscale_Img000059.tif,14.09
grayscale_Img000060.tif,13.64
grayscale_Img000061.tif,13.94
grayscale_Img000062.tif,14.68
grayscale_Img000063.tif,14.98
grayscale_Img000064.tif,15.27
grayscale_Img000065.tif,15.56
grayscale_Img000066.tif,15.4
grayscale_Img000067.tif,15.7
grayscale_Img000068.tif,14.97
grayscale_Img000069.tif,15.7
grayscale_Img000070.tif,16.42
grayscale_Img000071.tif,16.71
grayscale_Img000072.tif,16.99
grayscale_Img000073.tif,15.41
grayscale_Img000074.tif,14.97
grayscale_Img000075.tif,15.57
grayscale_Img000076.tif,14.99
grayscale_Img000077.tif,14.55
grayscale_Img000078.tif,15.29
grayscale_Img000079.tif,15.59
grayscale_Img000080.tif,16.04
grayscale_Img000081.tif,15.14
grayscale_Img000082.tif,14.98
grayscale_Img000083.tif,14.97
grayscale_Img000084.tif,14.4
grayscale_Img000085.tif,13.95
grayscale_Img000086.tif,13.65
grayscale_Img000087.tif,13.94
grayscale_Img000088.tif,14.4
grayscale_Img000089.tif,14.53
grayscale_Img000090.tif,14.53
grayscale_Img000091.tif,14.23
grayscale_Img000092.tif,13.8
grayscale_Img000093.tif,13.66
grayscale_Img000094.tif,14.24
grayscale_Img000095.tif,14.69
grayscale_Img000096.tif,15.27
grayscale_Img000097.tif,15.11
grayscale_Img000098.tif,15.4
grayscale_Img000099.tif,15.54
grayscale_Img000100.tif,15.24
